Date,Symbol,Close
1/2/2015,FB,78.45
1/5/2015,FB,77.19
1/6/2015,FB,76.15
1/7/2015,FB,76.15
1/8/2015,FB,78.18
1/9/2015,FB,77.74
1/12/2015,FB,76.72
1/13/2015,FB,76.45
1/14/2015,FB,76.28
1/15/2015,FB,74.05
1/16/2015,FB,75.18
1/20/2015,FB,76.24
1/21/2015,FB,76.74
1/22/2015,FB,77.65
1/23/2015,FB,77.83
1/26/2015,FB,77.5
1/27/2015,FB,75.78
1/28/2015,FB,76.24
1/29/2015,FB,78
1/30/2015,FB,75.91
2/2/2015,FB,74.99
2/3/2015,FB,75.4
2/4/2015,FB,75.63
2/5/2015,FB,75.61
2/6/2015,FB,74.47
2/9/2015,FB,74.44
2/10/2015,FB,75.19
2/11/2015,FB,76.51
2/12/2015,FB,76.23
2/13/2015,FB,75.74
2/17/2015,FB,75.6
2/18/2015,FB,76.71
2/19/2015,FB,79.42
2/20/2015,FB,79.9
2/23/2015,FB,78.84
2/24/2015,FB,78.45
2/25/2015,FB,79.56
2/26/2015,FB,80.41
2/27/2015,FB,78.97
3/2/2015,FB,79.75
3/3/2015,FB,79.6
3/4/2015,FB,80.9
3/5/2015,FB,81.21
3/6/2015,FB,80.01
3/9/2015,FB,79.44
3/10/2015,FB,77.55
3/11/2015,FB,77.57
3/12/2015,FB,78.93
3/13/2015,FB,78.05
3/16/2015,FB,78.07
3/17/2015,FB,79.36
3/18/2015,FB,80.91
3/19/2015,FB,82.75
3/20/2015,FB,83.8
3/23/2015,FB,84.43
3/24/2015,FB,85.31
3/25/2015,FB,82.92
3/26/2015,FB,83.01
3/27/2015,FB,83.3
3/30/2015,FB,83.2
3/31/2015,FB,82.22
4/1/2015,FB,81.67
4/2/2015,FB,81.56
4/6/2015,FB,82.44
4/7/2015,FB,82.32
4/8/2015,FB,82.28
4/9/2015,FB,82.17
4/10/2015,FB,82.04
4/13/2015,FB,83.01
4/14/2015,FB,83.52
4/15/2015,FB,82.71
4/16/2015,FB,82.31
4/17/2015,FB,80.78
4/20/2015,FB,83.09
4/21/2015,FB,83.62
4/22/2015,FB,84.63
4/23/2015,FB,82.41
4/24/2015,FB,81.53
4/27/2015,FB,81.91
4/28/2015,FB,80.68
4/29/2015,FB,80.47
4/30/2015,FB,78.77
5/1/2015,FB,78.99
5/4/2015,FB,78.81
5/5/2015,FB,77.56
5/6/2015,FB,78.1
5/7/2015,FB,78.43
5/8/2015,FB,78.51
5/11/2015,FB,78.01
5/12/2015,FB,77.46
5/13/2015,FB,78.44
5/14/2015,FB,81.37
5/15/2015,FB,80.42
5/18/2015,FB,80.88
5/19/2015,FB,80.63
5/20/2015,FB,80.55
5/21/2015,FB,80.48
5/22/2015,FB,80.54
5/26/2015,FB,79.33
5/27/2015,FB,80.55
5/28/2015,FB,80.15
5/29/2015,FB,79.19
6/1/2015,FB,80.29
6/2/2015,FB,80.44
6/3/2015,FB,82.44
6/4/2015,FB,82.05
6/5/2015,FB,82.14
6/8/2015,FB,80.67
6/9/2015,FB,80.67
6/10/2015,FB,82.16
6/11/2015,FB,81.83
6/12/2015,FB,81.53
6/15/2015,FB,80.71
6/16/2015,FB,81.06
6/17/2015,FB,81.79
6/18/2015,FB,82.91
6/19/2015,FB,82.51
6/22/2015,FB,84.74
6/23/2015,FB,87.88
6/24/2015,FB,88.86
6/25/2015,FB,87.98
6/26/2015,FB,88.01
6/29/2015,FB,85.8
6/30/2015,FB,85.77
7/1/2015,FB,86.91
7/2/2015,FB,87.29
7/6/2015,FB,87.55
7/7/2015,FB,87.22
7/8/2015,FB,85.65
7/9/2015,FB,85.88
7/10/2015,FB,87.95
7/13/2015,FB,90.1
7/14/2015,FB,89.68
7/15/2015,FB,89.76
7/16/2015,FB,90.85
7/17/2015,FB,94.97
7/20/2015,FB,97.91
7/21/2015,FB,98.39
7/22/2015,FB,97.04
7/23/2015,FB,95.44
7/24/2015,FB,96.95
7/27/2015,FB,94.17
7/28/2015,FB,95.29
7/29/2015,FB,96.99
7/30/2015,FB,95.21
7/31/2015,FB,94.01
8/3/2015,FB,94.14
8/4/2015,FB,94.06
8/5/2015,FB,96.44
8/6/2015,FB,95.12
8/7/2015,FB,94.3
8/10/2015,FB,94.15
8/11/2015,FB,93.62
8/12/2015,FB,94.19
8/13/2015,FB,93.43
8/14/2015,FB,94.42
8/17/2015,FB,93.93
8/18/2015,FB,95.17
8/19/2015,FB,95.31
8/20/2015,FB,90.56
8/21/2015,FB,86.06
8/24/2015,FB,82.09
8/25/2015,FB,83
8/26/2015,FB,87.19
8/27/2015,FB,89.73
8/28/2015,FB,91.01
8/31/2015,FB,89.43
9/1/2015,FB,87.23
