Date,Symbol,Close
1/2/2015,FISV,35.31
1/5/2015,FISV,34.91
1/6/2015,FISV,34.95
1/7/2015,FISV,35.42
1/8/2015,FISV,36.14
1/9/2015,FISV,36.03
1/12/2015,FISV,35.99
1/13/2015,FISV,36.11
1/14/2015,FISV,35.9
1/15/2015,FISV,35.86
1/16/2015,FISV,36.52
1/20/2015,FISV,36.58
1/21/2015,FISV,36.21
1/22/2015,FISV,36.82
1/23/2015,FISV,37.03
1/26/2015,FISV,37.16
1/27/2015,FISV,36.62
1/28/2015,FISV,36.42
1/29/2015,FISV,36.94
1/30/2015,FISV,36.27
2/2/2015,FISV,36.72
2/3/2015,FISV,37.24
2/4/2015,FISV,37.9
2/5/2015,FISV,38.56
2/6/2015,FISV,38.49
2/9/2015,FISV,38.24
2/10/2015,FISV,38.75
2/11/2015,FISV,38.85
2/12/2015,FISV,39.23
2/13/2015,FISV,39.35
2/17/2015,FISV,39.37
2/18/2015,FISV,39.53
2/19/2015,FISV,39.53
2/20/2015,FISV,39.53
2/23/2015,FISV,39.41
2/24/2015,FISV,39.52
2/25/2015,FISV,39.45
2/26/2015,FISV,39.32
2/27/2015,FISV,39.03
3/2/2015,FISV,39.44
3/3/2015,FISV,39.25
3/4/2015,FISV,38.99
3/5/2015,FISV,38.98
3/6/2015,FISV,38.76
3/9/2015,FISV,39.07
3/10/2015,FISV,38.37
3/11/2015,FISV,38.48
3/12/2015,FISV,39.12
3/13/2015,FISV,38.7
3/16/2015,FISV,39.34
3/17/2015,FISV,39.28
3/18/2015,FISV,39.92
3/19/2015,FISV,40.09
3/20/2015,FISV,40.15
3/23/2015,FISV,40.12
3/24/2015,FISV,39.8
3/25/2015,FISV,38.92
3/26/2015,FISV,39.22
3/27/2015,FISV,39.2
3/30/2015,FISV,39.87
3/31/2015,FISV,39.7
4/1/2015,FISV,39.79
4/2/2015,FISV,39.82
4/6/2015,FISV,39.92
4/7/2015,FISV,39.66
4/8/2015,FISV,40.15
4/9/2015,FISV,40.01
4/10/2015,FISV,39.53
4/13/2015,FISV,39.48
4/14/2015,FISV,39.31
4/15/2015,FISV,39.44
4/16/2015,FISV,39.33
4/17/2015,FISV,38.72
4/20/2015,FISV,39.08
4/21/2015,FISV,39.27
4/22/2015,FISV,39.47
4/23/2015,FISV,39.87
4/24/2015,FISV,39.64
4/27/2015,FISV,39.56
4/28/2015,FISV,39.76
4/29/2015,FISV,39.41
4/30/2015,FISV,38.8
5/1/2015,FISV,39.33
5/4/2015,FISV,39.31
5/5/2015,FISV,38.74
5/6/2015,FISV,39.45
5/7/2015,FISV,39.6
5/8/2015,FISV,40.07
5/11/2015,FISV,40.1
5/12/2015,FISV,39.99
5/13/2015,FISV,40.1
5/14/2015,FISV,40.44
5/15/2015,FISV,40.49
5/18/2015,FISV,40.73
5/19/2015,FISV,40.51
5/20/2015,FISV,40.56
5/21/2015,FISV,40.45
5/22/2015,FISV,40.28
5/26/2015,FISV,39.88
5/27/2015,FISV,40.39
5/28/2015,FISV,40.4
5/29/2015,FISV,40.08
6/1/2015,FISV,40.28
6/2/2015,FISV,40.24
6/3/2015,FISV,40.69
6/4/2015,FISV,40.1
6/5/2015,FISV,40.11
6/8/2015,FISV,39.8
6/9/2015,FISV,39.62
6/10/2015,FISV,40.21
6/11/2015,FISV,40.49
6/12/2015,FISV,40.16
6/15/2015,FISV,39.78
6/16/2015,FISV,40.32
6/17/2015,FISV,40.46
6/18/2015,FISV,41.35
6/19/2015,FISV,42.64
6/22/2015,FISV,43.02
6/23/2015,FISV,42.85
6/24/2015,FISV,42.5
6/25/2015,FISV,42.44
6/26/2015,FISV,42.51
6/29/2015,FISV,41.42
6/30/2015,FISV,41.42
7/1/2015,FISV,42.06
7/2/2015,FISV,41.93
7/6/2015,FISV,42.16
7/7/2015,FISV,42.48
7/8/2015,FISV,41.71
7/9/2015,FISV,42.22
7/10/2015,FISV,43.18
7/13/2015,FISV,43.55
7/14/2015,FISV,43.7
7/15/2015,FISV,43.6
7/16/2015,FISV,44.12
7/17/2015,FISV,44.02
7/20/2015,FISV,44.07
7/21/2015,FISV,43.68
7/22/2015,FISV,43.99
7/23/2015,FISV,43.34
7/24/2015,FISV,43
7/27/2015,FISV,42.53
7/28/2015,FISV,42.82
7/29/2015,FISV,43.91
7/30/2015,FISV,43.79
7/31/2015,FISV,43.43
8/3/2015,FISV,43.66
8/4/2015,FISV,43.88
8/5/2015,FISV,44.27
8/6/2015,FISV,43.53
8/7/2015,FISV,43.76
8/10/2015,FISV,44.42
8/11/2015,FISV,44.03
8/12/2015,FISV,44.27
8/13/2015,FISV,44.58
8/14/2015,FISV,44.79
8/17/2015,FISV,45.06
8/18/2015,FISV,45.14
8/19/2015,FISV,44.9
8/20/2015,FISV,44.21
8/21/2015,FISV,42.44
8/24/2015,FISV,40.71
8/25/2015,FISV,40.03
8/26/2015,FISV,42.32
8/27/2015,FISV,43.28
8/28/2015,FISV,43.39
8/31/2015,FISV,42.64
9/1/2015,FISV,41.44
9/2/2015,FISV,42.59
9/3/2015,FISV,42.87
9/4/2015,FISV,42.06
9/8/2015,FISV,43.29
9/9/2015,FISV,42.56
9/10/2015,FISV,42.96
9/11/2015,FISV,43.04
9/14/2015,FISV,42.61
9/15/2015,FISV,43.35
9/16/2015,FISV,43.65
9/17/2015,FISV,43.8
9/18/2015,FISV,43.27
9/21/2015,FISV,43.91
9/22/2015,FISV,43.14
9/23/2015,FISV,43.69
9/24/2015,FISV,43.82
9/25/2015,FISV,43.89
9/28/2015,FISV,42.27
9/29/2015,FISV,42.38
9/30/2015,FISV,43.31
10/1/2015,FISV,43.76
10/2/2015,FISV,44.11
10/5/2015,FISV,44.68
10/6/2015,FISV,44.21
10/7/2015,FISV,44.78
10/8/2015,FISV,45.67
10/9/2015,FISV,46.09
10/12/2015,FISV,46.22
10/13/2015,FISV,45.79
10/14/2015,FISV,45.47
10/15/2015,FISV,45.52
10/16/2015,FISV,45.98
10/19/2015,FISV,46.38
10/20/2015,FISV,46.44
10/21/2015,FISV,46.3
10/22/2015,FISV,47.26
